Estacion,Desde,Hasta,Semana,Polen,Acumulado,Acumulado_num
Albacete,01/09/2025,07/09/2025,36,Alnus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Alternaria (hongo),0,0.0
Albacete,01/09/2025,07/09/2025,36,Artemisa,0,0.0
Albacete,01/09/2025,07/09/2025,36,Betula,0,0.0
Albacete,01/09/2025,07/09/2025,36,Carex,0,0.0
Albacete,01/09/2025,07/09/2025,36,Castanea,0,0.0
Albacete,01/09/2025,07/09/2025,36,Cupresaceas,0,0.0
Albacete,01/09/2025,07/09/2025,36,Fraxinus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Gramineas,0,0.0
Albacete,01/09/2025,07/09/2025,36,Mercurialis,0,0.0
Albacete,01/09/2025,07/09/2025,36,Morus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Olea,0,0.0
Albacete,01/09/2025,07/09/2025,36,Palmaceas,0,0.0
Albacete,01/09/2025,07/09/2025,36,Pinus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Plantago,1,1.0
Albacete,01/09/2025,07/09/2025,36,Platanus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Populus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Amarantáceas,4,4.0
Albacete,01/09/2025,07/09/2025,36,Quercus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Rumex,0,0.0
Albacete,01/09/2025,07/09/2025,36,Ulmus,0,0.0
Albacete,01/09/2025,07/09/2025,36,Urticaceas,0,0.0
Albacete,01/09/2025,07/09/2025,36,Sumatorio,5,5.0
Albacete,08/09/2025,14/09/2025,37,Alnus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Alternaria (hongo),0,0.0
Albacete,08/09/2025,14/09/2025,37,Artemisa,1,1.0
Albacete,08/09/2025,14/09/2025,37,Betula,0,0.0
Albacete,08/09/2025,14/09/2025,37,Carex,0,0.0
Albacete,08/09/2025,14/09/2025,37,Castanea,0,0.0
Albacete,08/09/2025,14/09/2025,37,Cupresaceas,0,0.0
Albacete,08/09/2025,14/09/2025,37,Fraxinus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Gramineas,0,0.0
Albacete,08/09/2025,14/09/2025,37,Mercurialis,0,0.0
Albacete,08/09/2025,14/09/2025,37,Morus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Olea,0,0.0
Albacete,08/09/2025,14/09/2025,37,Palmaceas,0,0.0
Albacete,08/09/2025,14/09/2025,37,Pinus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Plantago,0,0.0
Albacete,08/09/2025,14/09/2025,37,Platanus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Populus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Amarantáceas,2,2.0
Albacete,08/09/2025,14/09/2025,37,Quercus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Rumex,0,0.0
Albacete,08/09/2025,14/09/2025,37,Ulmus,0,0.0
Albacete,08/09/2025,14/09/2025,37,Urticaceas,0,0.0
Albacete,08/09/2025,14/09/2025,37,Sumatorio,3,3.0
Albacete,15/09/2025,21/09/2025,38,Alnus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Alternaria (hongo),0,0.0
Albacete,15/09/2025,21/09/2025,38,Artemisa,0,0.0
Albacete,15/09/2025,21/09/2025,38,Betula,0,0.0
Albacete,15/09/2025,21/09/2025,38,Carex,0,0.0
Albacete,15/09/2025,21/09/2025,38,Castanea,0,0.0
Albacete,15/09/2025,21/09/2025,38,Cupresaceas,0,0.0
Albacete,15/09/2025,21/09/2025,38,Fraxinus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Gramineas,0,0.0
Albacete,15/09/2025,21/09/2025,38,Mercurialis,0,0.0
Albacete,15/09/2025,21/09/2025,38,Morus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Olea,0,0.0
Albacete,15/09/2025,21/09/2025,38,Palmaceas,0,0.0
Albacete,15/09/2025,21/09/2025,38,Pinus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Plantago,0,0.0
Albacete,15/09/2025,21/09/2025,38,Platanus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Populus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Amarantáceas,0,0.0
Albacete,15/09/2025,21/09/2025,38,Quercus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Rumex,2,2.0
Albacete,15/09/2025,21/09/2025,38,Ulmus,0,0.0
Albacete,15/09/2025,21/09/2025,38,Urticaceas,2,2.0
Albacete,15/09/2025,21/09/2025,38,Sumatorio,4,4.0
Albacete,13/10/2025,19/10/2025,42,Alnus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Alternaria (hongo),0,0.0
Albacete,13/10/2025,19/10/2025,42,Artemisa,0,0.0
Albacete,13/10/2025,19/10/2025,42,Betula,0,0.0
Albacete,13/10/2025,19/10/2025,42,Carex,0,0.0
Albacete,13/10/2025,19/10/2025,42,Castanea,0,0.0
Albacete,13/10/2025,19/10/2025,42,Cupresaceas,7,7.0
Albacete,13/10/2025,19/10/2025,42,Fraxinus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Gramineas,4,4.0
Albacete,13/10/2025,19/10/2025,42,Mercurialis,0,0.0
Albacete,13/10/2025,19/10/2025,42,Morus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Olea,2,2.0
Albacete,13/10/2025,19/10/2025,42,Palmaceas,0,0.0
Albacete,13/10/2025,19/10/2025,42,Pinus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Plantago,0,0.0
Albacete,13/10/2025,19/10/2025,42,Platanus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Populus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Amarantáceas,3,3.0
Albacete,13/10/2025,19/10/2025,42,Quercus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Rumex,0,0.0
Albacete,13/10/2025,19/10/2025,42,Ulmus,0,0.0
Albacete,13/10/2025,19/10/2025,42,Urticaceas,0,0.0
Albacete,13/10/2025,19/10/2025,42,Sumatorio,16,16.0
Albacete,20/10/2025,26/10/2025,43,Alnus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Alternaria (hongo),0,0.0
Albacete,20/10/2025,26/10/2025,43,Artemisa,0,0.0
Albacete,20/10/2025,26/10/2025,43,Betula,0,0.0
Albacete,20/10/2025,26/10/2025,43,Carex,0,0.0
Albacete,20/10/2025,26/10/2025,43,Castanea,0,0.0
Albacete,20/10/2025,26/10/2025,43,Cupresaceas,7,7.0
Albacete,20/10/2025,26/10/2025,43,Fraxinus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Gramineas,0,0.0
Albacete,20/10/2025,26/10/2025,43,Mercurialis,0,0.0
Albacete,20/10/2025,26/10/2025,43,Morus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Olea,1,1.0
Albacete,20/10/2025,26/10/2025,43,Palmaceas,0,0.0
Albacete,20/10/2025,26/10/2025,43,Pinus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Plantago,0,0.0
Albacete,20/10/2025,26/10/2025,43,Platanus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Populus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Amarantáceas,2,2.0
Albacete,20/10/2025,26/10/2025,43,Quercus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Rumex,0,0.0
Albacete,20/10/2025,26/10/2025,43,Ulmus,0,0.0
Albacete,20/10/2025,26/10/2025,43,Urticaceas,0,0.0
Albacete,20/10/2025,26/10/2025,43,Sumatorio,10,10.0
Alcázar,01/09/2025,07/09/2025,36,Alnus,0,0.0
Alcázar,01/09/2025,07/09/2025,36,Alternaria (hongo),119,119.0
Alcázar,01/09/2025,07/09/2025,36,Artemisa,0,0.0
Alcázar,01/09/2025,07/09/2025,36,Betula,0,0.0
Alcázar,01/09/2025,07/09/2025,36,Carex,0,0.0
Alcázar,01/09/2025,07/09/2025,36,Castanea,0,0.0
Alcázar,01/09/2025,07/09/2025,36,Cupresaceas,0,0.0
Alcázar,01/09/2025,07/09/2025,36,Fraxinus,0,0.0
Alcázar,01/09/2025,07/09/2025,36,Gramineas,49,49.0
